en;it;es;fr
Meat§ Fully recovers one hero's Energy.;Carne§ Ripristina completamente l'energia di un eroe.;Carne;Viande
Diamond;Diamante§ Un diamante prezioso che conferisce incredibili poteri.;;
Chest Key;Chiave del Baule§ Può aprire i bauli chiusi a chiave.;;
Laboratory Key;Chiave Laboratorio§ Apre la porta del laboratorio.;;
Invulnerability;Invulnerabilità§ Rende gli eroi invincibili per un periodo di tempo limitato.;;
Destroyer;Distruttore§ Aumenta la potenza d’attacco degli eroi  per un periodo di tempo limitato.;;
Potion;Pozione§ Ripristina completamente l'energia di tutto il gruppo.;;
Rifle Burst;Carica Fucile§ Carica energetica per il fucile laser di Grin.;;
Fury’s Armor;Armatura Fury§ Il rivestimento metallico che copre il corpo di Fury.;;
Medallion;Medaglione§ Il medaglione magico di Tay.;;
Laser Rifle;Fucile Laser§ Il potente fucile laser di Grin.;;
Sea Key;Chiave Marina§ Apre la porta nel Fondale Marino.;;
Accelerator Vial;Fiala Acceleratrice§ Incrementa la velocità degli eroi per un periodo di tempo limitato. Utile sott'acqua o nel deserto.;;
Water Barrier;Barriera d'Acqua§ Una barriera acquatica che permette di respirare sott'acqua più a lungo.;;
Plasma Rifle;Fucile al Plasma§ Il fucile al plasma è ancora più veloce e potente nel danneggiare i nemici.;;
Dragon Egg;Uovo di Drago§ Un uovo di drago. Portalo a Reyjiro!;;
Card;Nuova Figurina;;
Skill: Barrier;Abilità: Barriera§ Assegna l'abilità BARRIERA alla pressione del tasto D.;;
Skill: Frost;Abilità: Gelo§ Assegna l'abilità GELO alla pressione del tasto D.;;
Skill: Rage;Abilità: Furia§ Assegna l'abilità FURIA alla pressione del tasto D.;;
Sages Water;Acqua dei Saggi§ Gli eroi che berranno quest'acqua torneranno in vita se sono KO.;;
;;;
Iron Suit Burst;Carica Iron Suit;;
Rampage PlasmaGen;Furia PlasmaGen§ Ultima devastante evoluzione del fucile al plasma di Grin.;;
Rifle Burst;Carica Fucile§ Carica energetica per il fucile laser di Grin.;;
Saver;Saver§ Salva dove e quando vuoi!;;
King’s Sword;Spada del Re;;
Mechanical Sword;Spada Meccanica;;
Iron Suit Cannon;Cannone Iron Suit;;
Futuristic Hyper Sword;Iper Spada Futuristica;;
Scabbard;Fodera§ Riponi qui le tue spade!;;
Cyborg Sword;Spada Cyborg;;
Energy Sword;Spada Energetica;;
Sword TC;CT Spada;;
Rifle TC;CT Fucile;;
ESP;ESP;;
Dindini;Dindini;;
