en;it;es;fr
\f[1]\nb[\n[1]]\n[2]!;\f[1]\nb[\n[1]]\n[2]!;;
\f[2]\nb[\n[2]]\n[1]!;\f[2]\nb[\n[2]]\n[1]!;;
\f[1]\nb[\n[1]What is that?!\. What are you doing in there?!;\f[1]\nb[\n[1]]Dove ti trovi?!\. Cosa ci fai lì dietro?!;;
\f[2]\nb[\n[2]]Ourhero, it's a disaster!;\f[2]\nb[\n[2]]Nostroeroe, è un disastro!;;
\f[2]\nb[\n[2]]That breach sent us flying through time.\|§ This is our world's future! We were literally tossed into next year, or decade or whatever.;\f[2]\nb[\n[2]]Entrando in quel varco siamo stati come catapultati avanti nel tempo.\|§ Ci troviamo nel nostro futuro! Abbiamo viaggiato decenni avanti nel tempo.;;
\f[2]\nb[\n[2]]Derijiro tried to drag us through...\. and succeeded!;\f[2]\nb[\n[2]]Derijiro voleva portarci dentro al varco con lui...\. e ci è riuscito!;;
\f[2]\nb[\n[2]]Then...\|§ Something grabbed me and threw me in here…;\f[2]\nb[\n[2]]Ed ora...\|§ Sono stato catturato e mi trovo chiuso qui dentro…;;
\f[1]\nb[\n[1]]I've got to bust you out of there!;\f[1]\nb[\n[1]]Devo trovare il modo di liberarti!;;
\f[1]\nb[\n[1]]If only we had \n[3] with us!\|§ He'd be able to smash these rocks to dust! He always enjoyed breaking rocks like these...;\f[1]\nb[\n[1]]Se solo ci fosse stato \n[3] qui!\|§ Lui sarebbe stato in grado di distruggere queste rocce, le riconosco! Le spaccava sempre lui, e si divertiva un mondo.;;
\f[2]\nb[\n[2]]Don't worry about me, \n[1]!§ I'll figure a way out...\| Still, if you do find \n[3], I'd appreciate the help in getting out.;\f[2]\nb[\n[2]]Non preoccuparti per me, \n[1]!§ Riuscirò a cavarmela e ad uscire da qui...\| Oppure aspetterò che trovi \n[3] e torniate a salvarmi.;;
\f[1]\nb[\n[1]]I'll see what I can do!\.§ Sit tight, \n[2]!;\f[1]\nb[\n[1]]Farò il prima possibile!\.§ Aspettami lì, \n[2]!;;
